,LOCATION,WIDTH,DEPTH,X_COORDINATE,HEIGHT,X,AISLE,Y,MAXIMUM_VOLUME,Z,CURRENT_ASSIGNED_SKU,CENTERAXIS,BAY
88,DA3418,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,135.7441,2.5261,0.0,1009865.0,X,0
89,DA3414,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,136.9882,2.5261,0.0,1011252.0,X,0
90,DA3410,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,138.2323,2.5261,0.0,1011256.0,X,0
91,DA3519,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,135.7441,2.5261,0.0,1011452.0,X,0
92,DA3515,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,136.9882,2.5261,0.0,1005565.0,X,0
93,DA3511,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,138.2323,2.5261,0.0,1002052.0,X,0
94,DA3319,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,139.4764,2.5261,0.0,1002761.0,X,0
95,DA3315,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,140.7205,2.5261,0.0,1009871.0,X,0
96,DA3311,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,141.9646,2.5261,0.0,1008592.0,X,0
97,DA3218,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,139.4764,2.5261,0.0,,X,0
98,DA3214,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,140.7205,2.5261,0.0,1004195.0,X,0
99,DA3210,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,141.9646,2.5261,0.0,1011454.0,X,0
100,DA3018,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,143.2087,2.5261,0.0,,X,0
101,DA3014,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,144.4528,2.5261,0.0,1041292.0,X,0
102,DA3010,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,256.2479,DA,145.6969,2.5261,0.0,1011255.0,X,0
103,DA3119,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,143.2087,2.5261,0.0,,X,0
104,DA3115,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,144.4528,2.5261,0.0,1011254.0,X,0
105,DA3111,1.361915553281094,1.361915553281094,258.6482,1.361915553281094,261.0485,DA,145.6969,2.5261,0.0,1041286.0,X,0
